Names;Links;Description
Mamezou Co;https://www.mamezou.com/;Offer computerization and optimization of IoT systems in the business and AI area. Sponsor of the [ROScon](https://roscon.ros.org/jp/2019/) JP 2019. ROSCon is a developers conference [^166].
MangDang;https://mangdang.store/;Specializes in the research, development, and production of robot products. They launched their first Robot Operating System (ROS) based quadruped robot (robot with four legs), named Mini Pupper in 2021. Sponsor of the [ROScon](https://roscon.ros.org/2023/) 2023.
MAN TRUCK & BUS INDIA;https://www.mantruckandbusindia.com/;Manufacture and sell a range of commercial vehicles, including trucks, buses, and engines, for various applications in the Indian market. Hiring ROS engineers ([Technical expert](https://www.mantruckandbusindia.com/jobs-1/technical-expert-autonomous-driving.html)).
Marel;http://www.marel.com;Manufactures and provides equipment, systems, software and services to the poultry, meat and fish processing industries. Hiring engineers with experience in ROS ([Senior Software Engineer](https://jobs.marel.com/es/es/job/14732/Senior-Software-Engineer-Robotics)).
Maria Medical Technology;http://www.mmt.ae;Develop a laser and energy-based aesthetic and [medical device solutions](https://www.mmt.ae/products/) for healthcare field. Also enters the field of medical cobots by designing and developing the [i LASER](https://www.mmt.ae/i-laser/). Hiring ROS engineers ([Robotics Software Engineer](https://discourse.ros.org/t/job-robotics-software-engineer/19718)).
marinom GmbH;https://www.marinom.de/;Provide maritime technology solutions. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
Marvelmind Robotics;https://marvelmind.com/;Is an autonomous robotics company. They design, manufacture and sell autonomous robots and robotic systems for logistics, factory automation and research. ROS drivers for Marvelmind Robotics (see [`MarvelmindRobotics`](https://github.com/MarvelmindRobotics)).
MathWorks;https://www.mathworks.com/;Develop mathematical computing� software. ROS Toolbox provides an interface connecting MATLAB (used for mathematical calculations)\uc0\u8239 and Simulink (modeling and simulating complex systems)\u8239 with the ROS and ROS 2, enabling to create a network of ROS nodes. This project relies on ROS Toolbox functionality (see [`Message-De-Serializer-for-ROS`](https://github.com/mathworks/Message-De-Serializer-for-ROS))[^89].
Matician;http://www.matician.com;Build autonomous home machines. Using sensors and algorithms they design the devices with Level-5 autonomy and mobility. A ROS package tool to analyze the IMU performance (see [`MaticianInc/imu_utils`](https://github.com/MaticianInc/imu_utils)).
MeBotX;https://www.mebotx.com/;Produces robotic exoskeletons. Based on ROS-BC Interface Platform (ROS-BCI) to create a [ROS](https://en.mebotx.com/?content/86)-based brain interface ecosystem.
Mech-Mind Robotics;https://www.mech-mind.com/;Is dedicated to giving intelligence to industrial robots. ROS interface for Mech-Eye cameras (see [`mecheye_ros_interface`](https://github.com/MechMindRobotics/mecheye_ros_interface)).
Meta;https://www.metacareers.com/;Build technologies that help people connect, find communities, and grow businesses. Hiring engineers with experience in ROS ([Robotics Automation Engineer](https://www.metacareers.com/jobs/261913153546066/)).
Microchip;https://www.microchip.com;Silicon vendor. Embedded control solutions. Well known for microcontrollers and FPGA solutions. PolarFire SoC family.
Microsoft;https://www.microsoft.com/;Software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^147].
MicroStrain;https://www.microstrain.com/;Produce micro-displacement sensors for strain measurement in biomechanics research applications. ROS drivers for MicroStrain (see [`LORD-MicroStrain`](https://github.com/LORD-MicroStrain)).
Milvus Robotics;https://milvusrobotics.com;Offer Autonomous Mobile Robots (AMRs). SEIT[^34] robots move materials with no human intervention required. ROS Drivers for communicating with Milvus Robotics products (see [`milvusrobotics`](https://github.com/milvusrobotics)).
MindHome;http://www.mindhome.co;Transform home experience with robots designed to cook, clean and fold laundry. ROS drivers for MindHome robots (see [`MindHome-Inc`](https://github.com/MindHome-Inc)).
Miso Robotics;https://misorobotics.com;Robots-as-a-Service and intelligent automation solutions for the food industry, specially restaurants and fast-food production. ROS drivers for Miso Robotics (see [`MisoRobotics`](https://github.com/MisoRobotics)).
Mitra Informatika;https://mit.id;They help customer and app developer to build an application more powerful with one integrated platform. Hiring ROS engineers ([ADAS and AD Engineer](https://mit.id/jobs/adas)).
Mitsubishi Electric;http://www.mitsubishielectric.com/;Manufacture and sell electric and electronic equipment used in various systems and appliances. Mitsubishi supports ROS functions [^172].
Mobile Industrial Robots;https://www.mobile-industrial-robots.com/;Produce and develop mobile autonomous robots for industry and manufacturing companies. MiR developing a cheap mobile robot with [ROS](https://www.dti.dk/specialists/mir-developing-a-cheap-mobile-robot-with-ros/33795).
Mojin Robotics GmbH;http://www.mojin-robotics.de;Develop smart assistant robots. Also offers service robot platform and online and offline integration services. Provides nodes to assemble point clouds from either LaserScan or PointCloud messages for Mojin Robotics (see [`mojin-robotics/laser_assembler`](https://github.com/mojin-robotics/laser_assembler)).
Momentum Robotics;https://www.momentumrobotics.in/home;Offer a range of products and services related to robotics, including consulting, design, development, and integration. Hiring ROS engineers ([Robotics Software Developer](https://www.f6s.com/jobs/51106/momentumrobotics/robotics-software-developer-intern)).
MORAI;https://www.morai.ai/;Develop a virtual simulation environment for testing autonomous driving software. ROS drivers for MORAI (see [`MORAI-Autonomous`](https://github.com/MORAI-Autonomous)).
Motius;https://motius.de/;Provide consulting, software development, and research and development services. ROS drivers for Motius (see [`motius`](https://github.com/motius)).
Motiv Space Systems;http://www.motivss.com;Provider of advanced robotic systems for research, industrial applications, disaster relief, defense, and extreme environments. Installation and user instructions� for all Motiv [ROS Software](https://buildmedia.readthedocs.org/media/pdf/motiv-ros-documentation/industrial_arm/motiv-ros-documentation.pdf).
Movi\uc0\u284 o Robotics;http://www.movigorobotics.com;Specialize in developing, delivering and implementing AGV industry 4.0 solutions. They offer ROS[^80] Development and complete data integration services with existing back-office and database systems.
MOV.AI;https://www.mov.ai/;A Robotics Engine platform based on ROS and packaged in intuitive web based interface. It contains everything needed to build, deploy and operate intelligent robots. The IDE that brings visualization and structure to ROS (see [`movai-flow`](https://github.com/MOV-AI/movai-flow))[^88].
mu Space Corp;http://www.muspacecorp.com;Focus on developing and launching satellite and space technologies and services for a variety of applications, including telecommunications, earth observation, and space exploration. Hiring ROS engineers ([Robotics software engineer](https://muspacecorp.com/robotics-software-engineer/)).
Na\'efo Technologies;https://www.naio-technologies.com/en/home/;Develop autonomous robot for agriculture in close collaboration with farmers. [Ted](https://www.naio-technologies.com/en/ted/), the first robot dedicated to vineyards. CanOpen-to-ROS bridge (see [`kacanopen`](https://github.com/NaioTechnologies/kacanopen)).
NakAI Robotics;https://nakairobotics.com;Develop cutting-edge vessels' Grooming and Inspection solutions. ROS Perception package (depthimage_to_laserscan) that converts a depth image to a laser scan for use with navigation and localization for NakAI Robotics (see [`nakai-robotics/depthimage_to_laserscan`](https://github.com/nakai-robotics/depthimage_to_laserscan)).
Nala Robotics;https://nalarobotics.com/;Design custom kitchen robots that work in a fully automated way. [Nala](https://nalarobotics.com/nala-chef-one-point-one-product.html) is the first AI and ML-powered multi-cuisine Chef. Being AI-powered, Nala Chef, a customizable robot that uses machine learning to cook infinite recipes. Hiring ROS engineers ([ROS Engineer](https://www.localwalkins.com/job/ros-engineer)).
Nature Robots;https://naturerobots.com/;Nature Robots promotes regenerative and ecological agriculture through AI and robotics by supporting perennial and diverse farming systems through innovative software and hardware solutions. Maintaining the software stack for navigation on meshes (see [`mesh_navigation`](https://github.com/naturerobots/mesh_navigation) and [`mesh_tools`](https://github.com/naturerobots/mesh_tools)).
Nauticus Robotics;https://nauticusrobotics.com/;Developer of ocean robots, autonomy software and services delivered to the ocean industries. Hiring ROS engineers ([Software Project Manager](https://discourse.ros.org/t/software-project-manager-at-nauticus-robotics/27388)).
Navtech Radar;https://navtechradar.com/;Manufacture of commercially deployed radar solutions. Introducing [ROS](https://navtechradar.com/ros-compatibility/) compatibility for OEMSensors
NavVis;https://www.navvis.com;SLAM-based mobile mapping solutions to generate high-quality data and digital twins. Hiring engineers with experience in ROS ([Advanced Software Engineer Visual SLAM](https://www.glassdoor.com.hk/job-listing/advanced-software-engineer-visual-slam-fmd-navvis-JV_IC4990924_KO0,42_KE43,49.htm?jl=1008576029184&pos=126&ao=1136043&s=58&guid=000001877acc9e5b98ae3c30146d4898&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f8a7cb8&cb=1681392443993&jobListingId=1008576029184&jrtk=3-0-1gttcp7kak63v801-1gttcp7l4g2dh800-d6b6e4317c0d981a-&ctt=1681392478936)).
NCS Group;https://www.ncs.co/en-sg/;Provide services and solutions in consulting, digital, technology and cybersecurity. [Robotmanager](https://www.robotmanager.com/) is a product developed by NCS Robotics, provides a highly extensible approach that allows robot vendors and developers to easily integrate 3rd-party business apps and support more A.I. capabilities.Sponsor of the [ROScon](https://roscon.ros.org/2022/).
Nearthlab;http://nearthlab.com;Provide autonomous drone solutions powered by proprietary deep-learning algorithms for safety inspection in the wind and renewable energy sectors. ros2 vision_opencv contains packages to interface ROS 2 with OpenCV for Nearthlab (see [`nearthlab/vision_opencv`](https://github.com/nearthlab/vision_opencv)).
Neo Cybernetica;https://www.neocybernetica.com/;Develop cybernetics technology to improve the capability of artificially intelligent systems. Hiring ROS engineers ([Embedded Systems Engineer](https://discourse.ros.org/t/embedded-systems-engineer-robotics-neo-cybernetica/27582)).
Neobotix GmbH;https://www.neobotix-robots.com/homepage;Design, develop and manufacture mobile robot, robot arms and omnidirectional robots, with full ROS support can support industrial requirements. ROS and ROS-2 packages (see [`neobotix`](https://github.com/neobotix))[^87].
Nerian Vision;https://nerian.com;Manufacturer of 3D depth sensors for robotics, automation, surveillance and other industries. ROS driver for Nerian Vision sensors (see [`nerian-vision`](https://github.com/nerian-vision)).
NEURA Robotics;https://neura-robotics.com/;Develop robotics solutions for various applications. The company provides innovative robotics technology, such as autonomous robots and smart machines, for industries such as logistics, agriculture, and construction. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
NEUROMEKA;http://www.neuromeka.com;Specializes in robot technology and creates a robot platform business for manufacturing companies. ROS drivers for NEUROMEKA robots (see [`neuromeka-robotics`](https://github.com/neuromeka-robotics)).
Neya Systems;https://www.neyarobotics.com/;Develop advanced autonomous solutions to navigate unknown terrain while avoiding obstacles and precisely tracking wheel placement for optimal path trajectory. ROS-M is a software ecosystem for military RAS based on open ROS.
nfiniity GmbH;https://www.nfiniity.com/;Develop Vehicle-to-Everything (V2X) solutions running a ROS-based V2X stack framework with the mission to enhance intelligent mobility ecosystems and the creation of next-generation autonomous vehicles.
Niryo;https://niryo.com;Design industrial robotic solutions composed of robot arms, vision, artificial intelligence and cloud computing. The Ned2[^59], 6-axis collaborative robot designed for Education. Ned ros stack (see [`ned_ros`](https://github.com/NiryoRobotics/ned_ros)).
Nissan;https://www.linkedin.com/company/nissan-motor-corporation;Global car manufacturer. Looking for ROS talent[^260] in their Alliance Innovation Lab \'96 Silicon Valley (AIL-SV)
Nobleo Technology;https://nobleo-technology.nl/;Develop advanced technologies and solutions for the automotive industry. They focus on creating advanced driver assistance systems (ADAS), autonomous driving, and connected vehicle technologies. They use [ROS](https://nobleo-technology.nl/news/whitepaper-mobile-robot-navigation-ros2/) to develop and implement advanced features such as perception, navigation, and control in their robots.
NODE Robotics;https://node-robotics.com/;NODE\'a0offers\'a0plug and play\'a0software\'a0solutions\'a0for\'a0autonomous\'a0intralogistics. Have been using ROS as middleware and toolkit since day one to build NODE.OS, a plug-and-play, industry-ready, and hardware-agnostic software stack for intralogistics applications[^315].
Nokia Bell Labs;https://www.bell-labs.com/;Is the industrial research arm of Nokia, having invented many of the foundational technologies that underpin information and communications networks and all digital devices and systems. Sponsor of the [ROScon](https://roscon.ros.org/2022/).
NOKOV Motion Capture;https://www.nokov.com/;Company focused on optical 3D motion capture system in researching, developing, manufacturing and relative technical services. ROS nodes for working with the Nokov motion capture system (see [`mocap_nokov`](https://github.com/NOKOV-MOCAP/mocap_nokov)).
Noosware BV;http://noosware.com/;Offer business and cloud intelligence solutions through open collaborative online environments. A few ROS-based tutorials using the NOOS Cloud Robotics platform (see [`NoosWare/noos_ros_tutorials`](https://github.com/NoosWare/noos_ros_tutorials)).
Novium;https://www.noviumdesigns.com/;Robotics engineering firm serving the space and automation industries. Hiring engineers with experience in ROS ([Robotics Software Engineer](https://www.linkedin.com/jobs/view/robotics-software-engineer-at-novium-ltd-3556755267/)).
Noyes Technologies GmbH;https://www.noyes-tech.com/;Provide services that include logistics, robotics, warehouse automation, nano fulfillment, warehouse solutions, and urban fulfillment. Hiring engineers with experience in ROS ([ROS developers](https://discourse.ros.org/t/startup-looking-for-ros-developers-fulltime-interns-in-munich-germany/20985)).
NTT Disruption;https://disruption.global.ntt;NTT Disruption is an information technology company dedicated to technical support and enterprise software design. Using [ROS](https://www.linkedin.com/in/jorgegd/?locale=en_US) in their robotics engineering activities.
Numurus;https://numurus.com/;Help companies reduce the cost, time, and risks of bringing Edge-AI and robotic solutions to market. Numurus partners with PickNik to deliver web user interfaces for [ROS](https://numurus.com/press/numurus-partners-with-picknik-for-ros-ui-development/)-based systems.
Nuro;https://www.nuro.ai/;Custom electric autonomous vehicles for home deliveries. Looking for ROS talent in their vehicle infrastructure team[^257]
NVIDIA;https://www.nvidia.com/es-es/autonomous-machines/robotics/;Silicon vendor. High-performance GPU-based computing including CPU and GPU solutions. Jetson family of products.
NXP Semiconductors;http://www.nxp.com;Provide technology solutions targeting the automotive, industrial & IoT, mobile, and communication infrastructure markets. Produce secure connectivity solutions for embedded applications. Installing [ROS](https://community.nxp.com/t5/i-MX-Processors-Knowledge-Base/Installing-ROS-Indigo-on-NXP-i-MX-boards/ta-p/1126471) on NXP i.MX boards
NXROBO;http://www.nxrobo.com/;"Build China's largest ROS community ""Spark Plan"", dedicated to the research and development of ROS commercial-grade product technology and empowering education. Its core business is to provide AI & The overall solution for robotic labs and practical courses. The ROS wrapper of Sparks's driver plus various ROS applications (see [`spark`](https://github.com/NXROBO/spark))."
NXTGEN Robotics;http://www.nxtgenindustries.com.au;Robotics and Data Intelligence company. Offers different [robotic control solutions](https://nxtgenindustries.com.au/robotic-controls/) like Robotic Autonomous Navigation, Robotic Vision and Perception Systems, Motion Control, Obstacle Avoidance and 3D Mapping. ROS drivers for NXTGEN Robotics (see [`NXTGEN-Robotics`](https://github.com/NXTGEN-Robotics)).
Object Computing;http://objectcomputing.com;Deliver software solutions that accelerate business outcomes. Sponsor of the [ROScon](https://roscon.ros.org/world/2020/) 2020. ROSCon is a developers conference [^167].
Oceaneering;https://www.oceaneering.com/;Design logistic solutions based on autonomous mobile robot technology. Hiring engineers with experience in ROS ([Senior Application Software Engineer](https://careers.oceaneering.com/global/en/job/23391/Senior-Application-Software-Engineer)).
Octobotics Tech;https://octobotics.tech/;Build marine and aero� robotic platforms with modular manipulators for atonomous inspection. They combine the principles of control and balance with mechanical designs, cutting-edge hardware and electronics. Hiring ROS engineers ([ROS Engineer (Robotics)](https://www.linkedin.com/jobs/view/ros-engineer-robotics-at-octobotics-tech-3316487598/?originalSubdomain=in)).
Odd.Bot;https://www.odd.bot/;Produce autonomous, mobile weed removal robots. Hiring ROS engineers ([Robot Network Engineer](https://www.odd.bot/vacancy-robot-network-engineer)).
OffWorld;http://offworld.ai;Develop AI-powered rugged robots for heavy industrial jobs in the mining, infrastructure, and space sectors. Provides the ROS over CAN protocol proxy (see [`Offworld-Robotics/ROC2`](https://github.com/Offworld-Robotics/ROC2)).
Ola Electric;https://olaelectric.com/;Indian electric mobility company that provides electric vehicles and charging solutions. Hiring ROS engineers ([Embedded Developer](https://www.instahyre.com/job-211749-embedded-developer-at-ola-electric-mobility-bangalore/)).
Olive Robotics;https://www.olive-robotics.com/;Reprogrammable plug and play ROS and ROS 2 native robot hardware components. Modular ROS 2 native [actuators](https://discourse.ros.org/t/olive-robotics-native-ros-speaking-components/27851) and [sensors](https://discourse.ros.org/t/olive-robotics-native-ros-speaking-components/27851). Empowering everyone to build robots intuitively.
OMRON Group;https://www.omron.com/;Manufacture and sale automation components, equipment and systems. ROS Packages for Omron Mobile Robot (see [`Omron_LD_ROS_Package`](https://github.com/OmronAPAC/Omron_LD_ROS_Package)).
Open Robotics;https://www.openrobotics.org/;Open software and hardware platforms for robotics. Maintainers of [ROS](https://www.openrobotics.org/), Gazebo and Open-RMF.
Opteran;http://www.opteran.com/;Develop reverse-engineered biological software and hardware designed to turn biological brain algorithms into the building blocks for machine autonomy. Hiring engineers with experience in ROS ([Senior Autonomy Engineer - Localisation](https://www.linkedin.com/jobs/view/3697468447)).
Optonic;https://www.optonic.com/en/;Reliable and innovative partner for our customers for industrial solutions in the field of 2D and 3D camera systems, image processing, as well as machine and robot control. Using [ROS](https://discourse.ros.org/t/optonic-is-looking-for-a-software-engineer-robotics-and-vision-freiburg-germany/24978) in their robotics engineering activities.
Orangewood Labs;http://www.orangewood.co;Develop robotic arms. Hiring ROS engineers ([ROS Engineer](https://angel.co/company/orangewood-labs/jobs/1916372-ros-engineer-full-time)).
Orbbec;http://www.orbbec3d.com;Develop 3D motion sensor. ROS wrapper for Astra camera (see [`orbbec/ros_astra_camera`](https://github.com/orbbec/ros_astra_camera)).
Orbital Composites;https://orbitalcomposites.com/;3D printing robots for on-orbit manufacturing of advanced materials. Flexible and modular systems utilize ROS and ROS2 for the planning and control of collaborative multi-agent systems. Orbital is an official system partner of KUKA and is driving forward support for KUKA robots in ROS Industrial. Hiring engineers with experience in ROS ([SWE](https://discourse.ros.org/t/orbital-composites-robotic-3d-printing-company-hiring-a-swe/26499)).
Organifarms;http://www.organifarms.de;Agriculture company that provides sustainable and efficient agriculture solutions. It uses technology such as vertical farming and hydroponics to grow crops in an indoor environment. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
Orthoplex Solutions;https://orthoplexsolutions.com;Provide engineering, software, and web development custom solutions. Hiring engineers with experience in ROS ([ROS Developer](https://www.linkedin.com/jobs/view/3734230723)). As a ROS Developer, responsible for developing and maintaining software for autonomous driving systems.
OSARO;https://osaro.com/;Create machine intelligence software that combine state-of-the-art perception with powerful adaptive decision-making abilities to help computer and robotic systems act efficiently and intelligently. Hiring engineers with experience in ROS ([Robot Control Software Engineer](https://discourse.ros.org/t/robot-control-software-engineer-at-osaro-san-francisco/3778)).
OTSAW;http://otsaw.com/;Offer security, delivery and disinfection robot services on a subscription base to help you reduce time to benefit and be more flexible. Hiring engineers with experience in ROS ([Robotics Software Engineer](https://meet.jobs/en/jobs/22497-robotics-software-engineer)).
OttonomyIO;https://ottonomy.io/;Develop autonomous robot fleets to make contactless deliveries in both indoor and outdoor environments. Hiring ROS engineers ([Robotics Engineer](https://tarta.ai/j/SH_whH0B6wMe-sGqFdJs-robotics-engineer-in-new-york-ny-at-ottonomyio)).
OTTO Motors;http://www.ottomotors.com/;OTTO Motors is Clearpath\'92s industrial division, providing autonomous mobile robots (AMRs) for material handling inside manufacturing facilities and warehouses. Sponsor of the [ROScon](https://roscon.ros.org/2023/) 2023.
Ouster;https://ouster.com/;Build digital lidar sensors and perception tools for robots. ROS is used as the middleware, providing inter-process communication between the software components as well as robot-specific libraries and visualizers. This repository contains Ouster SDK source code to connect ouster sensors, reading and visualizing data, and interfacing with ROS. (see [`ouster_example`](https://github.com/ouster-lidar/ouster_example)).
Outrider;https://www.outrider.ai;Autonomous yard operations with robotic systems. Seeking for ROS talent in their autonomy team[^265]
Outsight;https://outsight.ai/;Develop a kind of sensor, a 3D Semantic Camera that brings Full Situation Awareness to Smart Machines and Cities. Hiring ROS engineers ([Field Application Engineer](https://jobs.lever.co/outsight/54d85492-14e7-45d2-b3a8-bf72da0f1bd2)).
Oversonic;https://www.oversonicrobotics.com/;Design and build cognitive computing systems, applying them, in particular, to the field of robotics. ROS driver for Oversonic (see [`OversonicRobotics`](https://github.com/OversonicRobotics)).
Owl Autonomous Imaging;http://www.owlai.us;Deliver Monocular 3D Thermal Ranging solutions to industrial and automotive mobility markets. Hiring ROS engineers ([Senior Application Engineer](https://www.linkedin.com/company/owlai/about/)).
PAL Robotics;https://pal-robotics.com/;Design, craft and customize humanoid and mobile robots, and modular robotic parts that adjust to people\'92s needs, enabled with ROS framework. Software package and ROS wrappers (see [`pal-robotics`](https://github.com/pal-robotics))[^86].
Parker Microstrain;https://www.microstrain.com/;Make tiny sensors and systems that are used in a wide range of applications. Use ROS internally and to enable customers. Provide ROS drivers for their sensors and devices[^308].
Parrot;https://www.parrot.com/us;Leading European group in the drones industry. Various aerial solutions for commercial and professional applications which offer various ROS connectors and integrations (e.g. see [`slamdunk_ros`](https://github.com/Parrot-Developers/slamdunk_ros))[^85].
Path Robotics;https://www.path-robotics.com/;Develop fully autonomous and intelligent robotic welding cells. ROS drivers for Path Robotics (see [`path-robotics`](https://github.com/path-robotics)).
Peer Robotics;https://www.peerrobotics.ai;Collaborative mobile robotics company building material handling solutions for manufacturing industries. Robots designed to work with humans and built with ROS at its core.
Peppermint Robots;https://getpeppermint.co/;Design, make and deploy intelligent housekeeping robots for industries and commercial spaces. ROS packages (see [`Peppermint-Robots`](https://github.com/Peppermint-Robots)).
PerceptIn;https://www.perceptin.io;Provide the all-in-one perception, insight, and intelligence solutions for robots and autonomous driving. This package lets you use the Ironsides visual inertial computing module with ROS. (see [`IRONSIDES`](https://github.com/PerceptIn/IRONSIDES)).
Percipio Robotics;http://www.percipio-robotics.com;Develop micro-gripper and micro-assembly robotics solutions. It offers precision robotic micromanipulation, micromechanics, dimensional measurement, chronograph, interfaces, robotic control, and platform solutions. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
Petpooja;https://www.petpooja.com;Provide restaurant management software, including billing, inventory management, online ordering and all other front and back-of-house management modules that any restaurant requires. Hiring engineers with experience in ROS ([ROS Developer](https://www.linkedin.com/jobs/view/3735045438)).
Phantom AI;https://phantom.ai/;Provide a comprehensive autonomous driving platform featuring computer vision, sensor fusion and control capabilities. Hiring engineers with experience in ROS ([Software Developer (C++) for Testing Perception Software](https://boards.greenhouse.io/phantomai/jobs/4059603006)).
Phoenix Contact;https://phoe.co/PhoenixContact;Provide electrical engineering and automation solutions. It offers a wide range of products including electrical components, automation systems, and software solutions for industrial and building automation. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.
Photoneo;https://www.photoneo.com/;Provide robotic vision and intelligence. Based on a patented 3D technology, Photoneo develop highest-resolution and highest-accuracy 3D camera ([Phoxi](https://www.photoneo.com/phoxi-3d-scanner/)). ROS Package for PhoXi Scanner/Camera. (see [`phoxi_camera`](https://github.com/photoneo/phoxi_camera)).
PI (Physik Instrumente);https://www.physikinstrumente.com/en/;Provide hardware and software interfaces for the application environment. Develop and produce robots with combinations of different axes. Hexapods provide motion in six degrees of freedom. ROS driver for PI-Hexapods (see [`PI_ROS_Driver`](https://github.com/PI-PhysikInstrumente/PI_ROS_Driver)).
Piaggio Fast Forward;https://www.piaggiofastforward.com/;Build semi-autonomous self driving mobility platforms [^50]. ROS driver for the Roboclaw[^51] motor controllers (see [`roboclaw_ros`](https://github.com/piaggiofastforward/roboclaw_ros)).
PickNik Robotics;https://picknik.ai/;Create, integrate, patch, or provide training for robotic applications. Particulary in ROS (see [`PickNikRobotics`](https://github.com/PickNikRobotics)), using a open robotics software platform to help companies to reduce risks, development time and costsassociated with robotic applications.
Pickit 3D;http://www.pickit3d.com/;Provide 3D vision systems for robot guidance applications. Hiring engineers with experience in ROS ([Senior computer vision engineer](https://discourse.ros.org/t/senior-computer-vision-and-robotics-software-opportunities-at-pickit-3d/31550)).
Pilz;https://www.pilz.com/en-US;Develop and sell products, systems and services for safe automation including sensors[^46], safety relays[^47], control[^48] systems and drives[^49]. The pilz_robots packages provide ROS (see [`PilzDE`](https://github.com/PilzDE))� support for controlling the Pilz manipulator module PRBT (see [`pilz_robots`](https://github.com/PilzDE/pilz_robots)) and include robot description and launch files.
Pixelink;https://www.pixelink.com;Pixelink is a trusted supplier to OEMs around the world offering cutting-edge camera customization and solutions for robotics, medical and life science instruments, research and industrial equipment. Their official ROS 2 package can be used to incorperate their cameras into� ROS2 application (see [`pixelink_ros2`](https://github.com/pixelink-support/pixelink_ros2/tree/main)).
PIX Moving;https://www.pixmoving.com/;Offers one-stop solution with self-driving software and hardware stack, from drive-by-wire chassis, batch customization manufacturing of vehicles to self-driving software integration. ROS Drivers for PIX Moving robots[^45] (see [`pixmoving-moveit`](https://github.com/pixmoving-moveit)).
Pixel Robotics;https://www.pixel-robotics.eu/;Pixel Robotics builds intelligent, perception-controlled robots tailored for logistics. With its unique AI vision infrastructure a digital twin of the operating area is created. Using this real-time twin, Pixel Robotics\'92s robots work together with their human colleagues - autonomous, safe and with an unmatched level of flexibility. Hiring engineers with experience in ROS ([Robotics Intern](https://discourse.ros.org/t/robotics-intern-pixel-robotics/29811)).
Plus;https://www.plus.ai/;Level 4 Autonomous Trucking Technology. Powered by ROS. Actively seeking for ROS experts[^277].
Plus One Robotics;https://plusonerobotics.com/;Builds robot perception software and solutions. They give robots the eye-hand coordination to pick and place objects in the warehouses and distribution centers using 3D and AI-powered perception. ROS communications-related packages, core client libraries (roscpp, rospy, roslisp) and graph introspection tools (rostopic, rosnode, rosservice, rosparam) (see [`ros_comm`](https://github.com/plusone-robotics/ros_comm))[^44].
Point One Navigation;https://pointonenav.com;Provide pecise location as a service, is tailored for autonomous systems including [self driving vehicles](https://pointonenav.com/verticals), commercial drones and other robotic applications where localization is required. ROS drivers for GNSS receiver (see [`septentrio_gnss_driver`](https://github.com/PointOneNav/septentrio_gnss_driver)).
Polymath Robotics;https://polymathrobotics.com;Develop autonomous vehicle software for industrial vehicles. Safety-critical navigation for industrial vehicles.
PPM Robotics AS;https://www.ppm.no/;Develop solutions within the field of advanced, highly-flexible industrial robot systems. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^148].
Process Champ;https://processchamp.com/;Develop AI software solutions for positional alignment, machinery guidance, autonomous inspection and quality reporting, predictive failure analysis, and digital twin process optimization. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^149].
PROPHESEE;https://www.prophesee.ai;Is the inventor of the most advanced neuromorphic vision systems [^129]. ROS driver for Prophesee [event-based sensors](https://www.prophesee.ai/event-based-sensor-packaged/) (see [`prophesee_ros_wrapper`](https://github.com/prophesee-ai/prophesee_ros_wrapper)).
PushCorp;http://pushcorp.com;Manufacture robotic material removal end-of-arm tooling. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^150].
qbrobotics;http://www.qbrobotics.com;Produce actuators, devices and systems for soft robotics as robotic hands, handles, delta robots and VSA. ROS package for [SoftHand](https://qbrobotics.com/product/qb-softhand-industry/) device (see [`ROS-SoftHand`](https://github.com/NMMI/ROS-SoftHand))[^174].
QuadSat;https://quadsat.com/;Supply airborne antenna testing solutions. QuadSAT system combines advanced drone technology with a custom RF pointing payload. The company is [currently member](https://rosindustrial.org/current-members) of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see [`ros-industrial`](https://github.com/ros-industrial))[^152].
Qualcomm;https://www.qualcomm.com/products/application/industrial-commercial/robotics;Silicon vendor. Their robotics platform offer compact connectivity-oriented (Wi-Fi, 4G LTE, 5G) high-performance (CPU, GPU, DSP) solutions. Seeking ROS expertise for ADAS software engineering[^278].
